created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2025-06-07T05:51:23+00:00,1,399.89,0.00,0.00,9.81,,,,,
2025-06-07T05:51:43+00:00,2,399.91,0.00,0.00,9.81,,,,,
2025-06-07T05:52:04+00:00,3,399.87,0.00,0.00,9.81,,,,,
2025-06-07T05:52:23+00:00,4,399.91,0.00,0.00,9.81,,,,,
2025-06-07T05:52:39+00:00,5,399.87,0.00,0.00,9.81,,,,,
2025-06-07T05:52:56+00:00,6,399.91,0.00,0.00,9.81,,,,,
2025-06-07T05:53:14+00:00,7,399.91,0.00,0.00,9.81,,,,,
2025-06-07T06:43:02+00:00,8,399.96,0.00,0.00,9.81,,,,,
2025-06-07T06:43:19+00:00,9,400.03,0.00,0.00,9.81,,,,,
2025-06-07T06:43:35+00:00,10,400.03,0.00,0.00,9.81,,,,,
2025-06-07T06:43:52+00:00,11,400.03,0.00,0.00,9.81,,,,,
2025-06-07T06:44:11+00:00,12,35.05,0.00,0.00,9.81,,,,,
2025-06-07T06:44:27+00:00,13,400.03,0.00,0.00,9.81,,,,,
2025-06-07T06:44:43+00:00,14,400.04,0.00,0.00,9.81,,,,,
2025-06-07T06:45:00+00:00,15,399.98,18.63,19.61,19.61,,,,,
2025-06-07T06:45:17+00:00,16,400.04,18.63,19.61,19.61,,,,,
2025-06-07T06:45:33+00:00,17,400.04,18.63,19.61,19.61,,,,,
2025-06-07T06:45:49+00:00,18,400.03,18.63,19.61,19.61,,,,,
2025-06-07T06:46:06+00:00,19,111.98,18.63,19.61,19.61,,,,,
2025-06-07T06:46:22+00:00,20,400.03,18.63,19.61,19.61,,,,,
2025-06-07T08:09:53+00:00,21,399.94,18.63,19.61,19.61,23.61,,,,
2025-06-07T08:10:10+00:00,22,399.98,18.63,19.61,19.61,23.61,,,,
2025-06-07T08:10:27+00:00,23,399.92,0.00,19.61,19.61,17.94,,,,
2025-06-07T08:10:44+00:00,24,399.92,0.00,0.49,19.61,9.82,,,,
2025-06-07T08:11:00+00:00,25,399.98,0.00,0.00,19.61,9.81,,,,
2025-06-07T08:11:16+00:00,26,399.98,0.00,0.00,0.00,9.80,,,,
2025-06-07T08:11:33+00:00,27,399.89,0.00,0.00,0.00,9.80,,,,
2025-06-07T08:11:49+00:00,28,399.94,-19.12,-6.86,-19.61,18.44,,,,
2025-06-07T08:12:05+00:00,29,400.04,-19.12,8.83,-19.61,18.98,,,,
2025-06-07T08:12:22+00:00,30,399.96,-19.12,-19.61,-19.61,23.89,,,,
2025-06-07T08:12:38+00:00,31,399.91,-19.12,-19.61,-19.61,23.89,,,,
2025-06-07T08:12:54+00:00,32,399.98,-19.12,-19.61,-0.98,17.61,,,,
2025-06-07T08:13:10+00:00,33,399.98,0.98,-0.49,-0.98,8.33,,,,
2025-06-07T08:13:27+00:00,34,399.98,-5.88,-7.85,-0.98,0.06,,,,
2025-06-07T08:13:43+00:00,35,399.98,-5.88,-7.85,-0.98,0.06,,,,
2025-06-07T08:13:59+00:00,36,399.98,-5.88,-7.85,-0.98,0.06,,,,
2025-06-07T08:14:16+00:00,37,161.89,-5.88,-7.85,-0.98,0.06,,,,
2025-06-07T08:14:32+00:00,38,102.95,-5.88,-7.85,-0.98,0.06,,,,
2025-06-07T08:14:49+00:00,39,102.95,-5.88,-7.85,-0.98,0.06,,,,
2025-06-07T08:15:05+00:00,40,399.94,-5.88,-7.85,-0.98,0.06,,,,
2025-06-07T08:15:21+00:00,41,399.98,6.86,6.86,-0.98,0.04,,,,
2025-06-07T08:15:38+00:00,42,399.98,6.86,6.86,-0.98,0.04,,,,
2025-06-07T08:15:55+00:00,43,399.98,6.86,6.86,12.75,6.22,,,,
2025-06-07T08:16:36+00:00,44,400.01,6.86,6.86,12.75,6.22,,,,
2025-06-07T08:16:52+00:00,45,399.98,6.86,6.86,12.75,6.22,,,,
2025-06-07T08:17:08+00:00,46,114.89,6.86,6.86,12.75,6.22,,,,
2025-06-07T08:17:26+00:00,47,114.89,0.49,-1.47,1.47,7.66,,,,
2025-06-07T08:17:42+00:00,48,114.94,-2.94,-5.88,5.88,0.97,,,,
2025-06-07T08:17:59+00:00,49,114.94,-2.94,-5.88,5.88,0.97,,,,
